variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[13.748247924286728, 64.0]";1;"[13.56600689996421, 53.0]";8200;46.040769600000004;46.0404767;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[13.748247924286728, 64.0]";2;"[13.694803916850642, 108.0]";11400;76.9055855;76.9053131;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[13.748247924286728, 64.0]";3;"[13.575831830003757, 34.0]";18400;63.219852;63.2195854;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[13.748247924286728, 64.0]";4;"[13.547976023044463, 49.0]";9800;45.5093152;45.5090829;40.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[13.748247924286728, 64.0]";5;"[13.52827856704815, 54.0]";7700;50.0818596;46.5215076;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[13.748247924286728, 64.0]";6;"[13.559452991625392, 26.0]";14900;60.161846700000005;29.911457;60.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[13.748247924286728, 64.0]";7;"[13.259499273639799, 36.0]";18300;70.03904270000001;57.6462053;70.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[13.748247924286728, 64.0]";8;"[13.207442720295118, 21.0]";27300;80.0584542;52.9522351;80.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[13.748247924286728, 64.0]";9;"[13.173748681411363, 17.0]";32400;90.0580157;49.4076547;90.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[13.748247924286728, 64.0]";10;"[13.187236627760312, 19.0]";36200;100.07539650000001;44.1379369;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;"[13.413352477712573, 64.0]";1;"[13.653091722399251, 42.0]";7700;44.1844705;44.1841098;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;"[13.413352477712573, 64.0]";2;"[13.286844881821274, 51.0]";9100;54.300816000000005;54.3005888;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;"[13.413352477712573, 64.0]";3;"[13.669358361850469, 62.0]";18100;81.4760208;81.4757125;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;"[13.413352477712573, 64.0]";4;"[13.664480403270298, 74.0]";10700;58.2020015;58.2014836;40.0
