variant;run;initial_planning_time;initial_planning_evaluations;initial_planning_objective;initial_pre_disturbance_std;initial_post_disturbance_std;last_replanning_time;last_replanning_evaluations;overall_replanning_time;overall_replanning_evaluations;final_objective_value;failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;64.6966307;12700;39;23.68586597;24.6040647;42.3042717;7300;107.0009024;20000;13.39146587;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;92.3291902;37300;26;20.67376222;21.18490028;35.3367204;6000;127.6659106;43300;13.45874354;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;83.662482;17500;67;26.56883908;28.3351372;74.0785929;21900;157.7410749;39400;13.57910523;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;81.2373251;12900;51;29.41050455;29.12181313;67.1245072;11200;148.3618323;24100;13.59901957;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;37.9577326;6800;62;20.39421366;22.42498606;33.2447974;5200;71.20253;12000;13.51260957;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;78.4248945;11600;85;27.17647857;28.74717377;53.3624617;9900;131.7873562;21500;13.09218974;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;66.1292655;16600;37;24.1322488;24.3918019;48.4148755;9000;114.544141;25600;13.34369967;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;60.581793;8800;79;20.62665182;20.75668567;45.4469446;7300;106.0287376;16100;13.43762913;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;90.3999686;26200;37;26.12482855;26.0936774;33.914854;5100;124.3148226;31300;13.54072048;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;69.6925535;13700;78;27.62577076;26.35450626;54.1928871;9400;123.8854406;23100;12.90585091;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;205.0083383;13600;58;28.76572034;29.016547;370.7960453;24500;575.8043836;38100;13.66260102;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;68.4849944;14100;42;24.86397563;24.53976365;52.1364248;7400;120.6214192;21500;13.67055049;0
