variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_pre_disturbance_std,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,73.62383510000001,20400.0,28.0,25.372678997421083,24.896586111352697,331.4167995,816400.0,405.04063460000003,836800.0,13.654285267740654,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,79.4090747,20800.0,44.0,25.260421391752136,25.700583650960148,12.4428601,8900.0,91.85193480000001,29700.0,13.505554412907307,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,59.834925000000005,13100.0,40.0,21.42330564341922,21.770622407271684,15.925733600000001,14100.0,75.7606586,27200.0,13.608094903901142,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,65.7941697,13700.0,53.0,23.6328292272413,23.437576666541275,16.600463,11400.0,82.3946327,25100.0,13.581832455140438,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,54.673300600000005,10600.0,46.0,25.319255347620803,25.55151658904027,17.5048514,11700.0,72.17815200000001,22300.0,13.618542189163445,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,75.046121,15100.0,58.0,26.84646791490778,28.613982595926768,13.0258394,6600.0,88.0719604,21700.0,15.175256013053897,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,66.7437604,17300.0,39.0,23.736162960739158,23.374344910606585,1.3107272,100.0,68.0544876,17400.0,13.158220450809402,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,64.1501178,13100.0,41.0,24.507232492561137,23.794116919944727,4.6186841,800.0,68.7688019,13900.0,13.666829267325403,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,60.607198600000004,12000.0,46.0,22.99217258111986,22.742910983425144,93.7730751,139100.0,154.3802737,151100.0,13.598039074317542,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,49.028203500000004,11200.0,31.0,22.912997012585794,21.987269043698902,37.532015200000004,50900.0,86.56021870000001,62100.0,13.63593654400382,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,95.5328205,17100.0,90.0,20.96256510550341,22.145879978000423,1.5657670000000001,100.0,97.0985875,17200.0,12.973743665240116,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,75.5942735,20200.0,30.0,27.793115765430425,26.590223767392406,46.753337,58500.0,122.3476105,78700.0,13.405287329821087,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,59.998292500000005,11500.0,56.0,25.368007459576635,25.9167899246801,11.3055377,5400.0,71.30383020000001,16900.0,13.534409736430334,0
